,portfolio,benchmark
2015-11-19,1.0096493072651866,1.0111942474006423
2015-11-20,1.0157156583787619,1.0150471285589362
2015-11-23,1.0181504624226578,1.013793606063552
2015-11-24,1.019762674066416,1.0150325527159665
2015-11-25,1.019657016363716,1.0149013701292402
2015-11-27,1.020074089576685,1.0155038383053165
2015-11-30,1.013649409273576,1.0107909824118173
2015-12-01,1.0251634648350483,1.0215868234379568
2015-12-02,1.0077996792460686,1.01035370712273
2015-12-03,0.9889330293716295,0.9958313089106998
2015-12-04,1.003356369039982,1.0162714993683815
2015-12-07,0.9929945202820675,1.0091682052278703
2015-12-08,0.9880118057442527,1.0026187931202033
2015-12-09,0.9812856227926536,0.9948595860460607
2015-12-10,0.986974627859167,0.9970994072490537
2015-12-11,0.9652356644274821,0.9777329705567982
2015-12-14,0.961834599130795,0.982382664464096
2015-12-15,0.9717973939677129,0.9928141094159957
2015-12-16,0.9861207556660789,1.0072247594985924
2015-12-17,0.9658647723787489,0.9920756000388703
2015-12-18,0.9524845619427958,0.9744193955883794
2015-12-21,0.9601753488279413,0.9819988339325636
2015-12-22,0.9669904407861147,0.990656884656497
2015-12-23,0.9846639678773204,1.0029588961228268
2015-12-24,0.9833640526713721,1.0013555533961724
2015-12-28,0.97778338343744,0.9991740355650579
2015-12-29,0.9885441163593325,1.009794966475562
2015-12-30,0.9799828398086488,1.0025070449907696
2015-12-31,0.9742401538664068,0.9930716159751248
2016-01-04,0.9589524323698337,0.9778738703721709
2016-01-05,0.954625501590613,0.9798416091730647
2016-01-06,0.9405097576622012,0.966990574288214
2016-01-07,0.9167655474676187,0.944072490525703
2016-01-08,0.9064370816211501,0.9338402487610542
2016-01-11,0.9055493469804685,0.9346370615100582
2016-01-12,0.9119554607523337,0.9419298416091738
2016-01-13,0.8808232090528018,0.9184141482849099
2016-01-14,0.8907634937957339,0.9337479350889133
2016-01-15,0.8721067665329667,0.9135798270333306
2016-01-19,0.8674249756067093,0.9140656884656502
2016-01-20,0.861352312254135,0.9033767369546212
2016-01-21,0.8699327900637067,0.9080701583908277
2016-01-22,0.8952786478967653,0.9264891652900602
2016-01-25,0.8753555684145733,0.9120007773782925
2016-01-26,0.8929597376949351,0.9249003984063753
2016-01-27,0.8829677872081942,0.9148527839860081
2016-01-28,0.8785155718960422,0.919910601496454
2016-01-29,0.9099395593688993,0.9426877854435923
2016-02-01,0.9135568827577913,0.9422699446117976
2016-02-02,0.8913599694171751,0.9246088815469836
2016-02-03,0.8919344979240806,0.9292245651540187
2016-02-04,0.8965960730847898,0.9306432805363919
2016-02-05,0.8632577919908516,0.9134437858322815
2016-02-08,0.834266471354305,0.9005150131182595
2016-02-09,0.8321255615042614,0.8999174035565065
2016-02-10,0.8409171761164809,0.8997473520551945
2016-02-11,0.8319877145134597,0.8886794286269563
2016-02-12,0.8532439523178259,0.9060246817607627
2016-02-16,0.8732055468925786,0.9209892138762032
2016-02-17,0.8896704501148833,0.9361675250218646
2016-02-18,0.88640407122087,0.9317996307453124
2016-02-19,0.8918545689369907,0.9317753376736964
2016-02-22,0.91105293101964,0.945243416577593
2016-02-23,0.8996354154245949,0.9334709940724915
2016-02-24,0.9084573775543268,0.9376153920901766
2016-02-25,0.9199120439430685,0.9482557574579739
2016-02-26,0.9250319371818522,0.9464823632300076
2016-02-29,0.9206941549064035,0.938796035370713
2016-03-01,0.9446017675214681,0.9612039646292884
2016-03-02,0.947935482018509,0.9651394422310764
2016-03-03,0.9555237063696963,0.9685161791856969
2016-03-04,0.9602363627044854,0.9717180060246823
2016-03-07,0.9601013474159207,0.9725779807598878
2016-03-08,0.9402156968194179,0.9616460985326989
2016-03-09,0.9491591772433485,0.9665047128558938
2016-03-10,0.9503988856418292,0.9666553298999128
2016-03-11,0.9734283881259269,0.9825041298221749
2016-03-14,0.9719852274286072,0.9812651831697602
